nama_resto,menu,harga,rank_menu
Susu dan Roti Bakar Om Bob Maguwo,susu murni mocca,13000,3
Susu dan Roti Bakar Om Bob Maguwo,roti bakar meses keju,11500,4
Susu dan Roti Bakar Om Bob Maguwo,es buah,12000,5
Susu dan Roti Bakar Om Bob Maguwo,jagung bakar pedas manis,5500,6
Susu dan Roti Bakar Om Bob Maguwo,roti bakar meses,7000,7
Susu dan Roti Bakar Om Bob Maguwo,mie telur kornet keju,20000,8
Susu dan Roti Bakar Om Bob Godean,susu murni coklat,13500,1
Susu dan Roti Bakar Om Bob Godean,susu murni red velvet ,13500,2
Susu dan Roti Bakar Om Bob Godean,susu murni mocca,13000,3
Susu dan Roti Bakar Om Bob Godean,roti bakar meses keju,11500,4
Susu dan Roti Bakar Om Bob Godean,es buah,12000,5
Susu dan Roti Bakar Om Bob Godean,jagung bakar pedas manis,5500,6
Susu dan Roti Bakar Om Bob Godean,roti bakar meses,7000,7
Susu dan Roti Bakar Om Bob Godean,mie telur kornet keju,20000,8
Nasi Goreng Sapi Padmanaba,nasi goreng porsi biasa,20000,1
Nasi Goreng Sapi Padmanaba,nasi goreng porsi jumbo,21000,2
Nasi Goreng Sapi Padmanaba,es teh,2000,3
Nasi Goreng Sapi Padmanaba,teh panas,2000,4
Nasi Goreng Sapi Kantor Notaris,nasi goreng porsi biasa,18000,1
Nasi Goreng Sapi Kantor Notaris,nasi goreng porsi jumbo,20000,2
Nasi Goreng Sapi Kantor Notaris,es teh,2000,3
Nasi Goreng Sapi Kantor Notaris,teh panas,2000,4
Oharang BBQ Jogja,chicken dinner,79900,1
Oharang BBQ Jogja,premium ,99900,2
Oharang BBQ Jogja,premium plus,129900,3
Oharang BBQ Jogja,supreme,159900,4
Seorae,regular,198000,1
Seorae,signature,368000,2
Seorae,premium,268000,3
Gyu-Kaku Japanese BBQ,standard buffet,238000,1
Gyu-Kaku Japanese BBQ,premium buffet,398000,2
Gyu-Kaku Japanese BBQ,gk yakiniku set,89000,3
Gyu-Kaku Japanese BBQ,prime yakiniku set,189000,4
Kakkoii Japanese BBQ & Shabu-Shabu,regular (90 minutes),119000,1
Kakkoii Japanese BBQ & Shabu-Shabu,regular (150 minutes) ,145000,2
Kakkoii Japanese BBQ & Shabu-Shabu,weekend (150 minutes),165000,3
Kakkoii Japanese BBQ & Shabu-Shabu,beef premium (90 minutes),210000,4
Kakkoii Japanese BBQ & Shabu-Shabu,beef premium (150 minutes),239000,5
Kakkoii Japanese BBQ & Shabu-Shabu,beef premium (weekend),249000,6
Shabu AUCE,adult ,120000,1
Shabu AUCE,kids,60000,2
Milk by Artemy,milk curry beef katsu,40000,1
Milk by Artemy,aglio olio beef,37000,2
Milk by Artemy,fish and chips,50000,3
Milk by Artemy,ice cream (1 scoop),22000,4
Milk by Artemy,ice cream (2 scoops),27000,5
Milk by Artemy,ice cream (3 scoops),32000,6
Sakapatat Brew House & Resto,virgin mojito classic,23000,1
Sakapatat Brew House & Resto,virgin colada,25000,2
Sakapatat Brew House & Resto,pink dragon,35000,3
Sakapatat Brew House & Resto,house red wine,69000,4
Sakapatat Brew House & Resto,bintang small,29000,5
Izakaya,tori nanban set,80000,1
Izakaya,soba gozen set,70000,2
Izakaya,tendon set,87000,3
Izakaya,sushi gozen set ,165000,4
Izakaya,sake no sumiso ae,50000,5
Ramenhead,beef yaki ramen,43000,1
Ramenhead,chicken yaki udon,40000,2
Ramenhead,gyudon rice bowl,30000,3
Ramenhead,niwatori no hone,25000,4
Ramenhead,katsu yaki ramen,40000,5
BAKI by D'Monaco,australian beef tenderloin,170000,1
BAKI by D'Monaco,beef tenderloin steak,120000,2
BAKI by D'Monaco,bbq beef brisket,120000,3
BAKI by D'Monaco,salmon steak,150000,4
BAKI by D'Monaco,rustica bianca pizza,80000,5
Kanari Society & Space,hanalulu,30000,1
Kanari Society & Space,eleanor ,30000,2
Kanari Society & Space,kanari delusional,30000,3
Kanari Society & Space,beef teriyaki,37000,4
Kanari Society & Space,dori sambal matah,35000,5
TRILOGI COFFEE,kopi susu gula aren ,30000,1
TRILOGI COFFEE,palm sugar frappe,35000,2
TRILOGI COFFEE,oreo vanilla frappe,35000,3
TRILOGI COFFEE,nasi campur trilogi ,68000,4
TRILOGI COFFEE,chicken cordon bleu ,52000,5
Dummin Coffee & Space UKDW,roasted barley ,23000,1
Dummin Coffee & Space UKDW,cinnamon ,25000,2
Dummin Coffee & Space UKDW,regal ,25000,3
Dummin Coffee & Space UKDW,cafe latte,20000,4
Dummin Coffee & Space UKDW,salted egg rice bowl,28000,5
Enam Langit by Plataran,mixed grill seafood,265000,1
Enam Langit by Plataran,nasi goreng kecombrang,100000,2
Enam Langit by Plataran,sop buntut,150000,3
Enam Langit by Plataran,menoreh garden,75000,4
Enam Langit by Plataran,pandan sari,75000,5
Mie Ayam Bandung 59,nasi campur halal,29000,1
Mie Ayam Bandung 60,bakso chuan ki,17000,2
Mie Ayam Bandung 61,pangsit sechuan,17000,3
Mie Ayam Bandung 62,yammie sechuan manis,20000,4
Mie Ayam Bandung 63,yammie manis pedas,20000,5
28 Coffee Seturan,butterscotch coffee,24000,1
29 Coffee Seturan,hazelnut latte,24000,2
30 Coffee Seturan,regal latte,25000,3
31 Coffee Seturan,red velvet,23000,4
32 Coffee Seturan,matcha strawberry freeze,23000,5
Chunda Resto,oxtail soup,125000,1
Chunda Resto,chunda fried rice,80000,2
Chunda Resto,chunda beef skewer satay,145000,3
Chunda Resto,meat lover pizza,92000,4
Chunda Resto,janti colada,35000,5
Lalawuh Sunda,nasi liwet komplit,35000,1
Lalawuh Sunda,nasi merah komplik,30000,2
Lalawuh Sunda,nasi goreng ikan asin,25000,3
Lalawuh Sunda,nila goreng crispy,25000,4
Lalawuh Sunda,sayur lodeh,10000,5
R&B Grill Yogyakarta,lamb chop,111000,1
R&B Grill Yogyakarta,US Meat package,250000,2
R&B Grill Yogyakarta,norwegian salmon,113000,3
R&B Grill Yogyakarta,caesar salad,40000,4
R&B Grill Yogyakarta,wagyu beef burger,88000,5
R&B Grill Jogja - 2nd Building,lamb chop,111000,1
R&B Grill Jogja - 2nd Building,US Meat package,250000,2
R&B Grill Jogja - 2nd Building,norwegian salmon,113000,3
R&B Grill Jogja - 2nd Building,caesar salad,40000,4
R&B Grill Jogja - 2nd Building,wagyu beef burger,88000,5
Metropole Coffee,fish and chips,60000,1
Metropole Coffee,beef goulash,45000,2
Metropole Coffee,creamy lemon fetuccine,45000,3
Metropole Coffee,caramel macchiato,37000,4
Metropole Coffee,black summer,35000,5
Mediterranea Restaurant by Kamil,lamb shank tajine with prunes,150000,1
Mediterranea Restaurant by Kamil,don camilo pizza,65000,2
Mediterranea Restaurant by Kamil,creamy spinaches,33000,3
Mediterranea Restaurant by Kamil,chocolate vienna,37000,4
Mediterranea Restaurant by Kamil,affogato,37000,5
Nanamia Pizzeria,lasagne classica,42000,1
Nanamia Pizzeria,bianca pizza,63000,2
Nanamia Pizzeria,peperoni pizza,70000,3
Nanamia Pizzeria,mango lassy,28000,4
Nanamia Pizzeria,coffee milkshake,29000,5
Nanamia Pizzeria Jogja (North Area),lasagne classica,42000,1
Nanamia Pizzeria Jogja (North Area),bianca pizza,63000,2
Nanamia Pizzeria Jogja (North Area),peperoni pizza,70000,3
Nanamia Pizzeria Jogja (North Area),mango lassy,28000,4
Nanamia Pizzeria Jogja (North Area),coffee milkshake,29000,5
Warung Burjo DM,indomie rebus tante (tanpa telur),5500,1
Warung Burjo DM,mie dokdok + nasi,10000,2
Warung Burjo DM,magelangan,10000,3
Warung Burjo DM,nasi orak arik,8000,4
Warung Burjo DM,kopi susu,5000,5
Warung Burjo Duta Rasa Grup,indomie rebus tante (tanpa telur),5500,1
Warung Burjo Duta Rasa Grup,mie dokdok + nasi,10000,2
Warung Burjo Duta Rasa Grup,magelangan,10000,3
Warung Burjo Duta Rasa Grup,nasi orak arik,8000,4
Warung Burjo Duta Rasa Grup,kopi susu,5000,5
Burjo Melati,indomie rebus tante (tanpa telur),5500,1
Burjo Melati,mie dokdok + nasi,10000,2
Burjo Melati,magelangan,10000,3
Burjo Melati,nasi orak arik,8000,4
Burjo Melati,kopi susu,5000,5
Warung Burjo Mirasa,indomie rebus tante (tanpa telur),5500,1
Warung Burjo Mirasa,mie dokdok + nasi,10000,2
Warung Burjo Mirasa,magelangan,10000,3
Warung Burjo Mirasa,nasi orak arik,8000,4
Warung Burjo Mirasa,kopi susu,5000,5
Burjo Murni Monjali 54,indomie rebus tante (tanpa telur),5500,1
Burjo Murni Monjali 55,mie dokdok + nasi,10000,2
Burjo Murni Monjali 56,magelangan,10000,3
Burjo Murni Monjali 57,nasi orak arik,8000,4
Burjo Murni Monjali 58,kopi susu,5000,5
Burjo Murno,indomie rebus tante (tanpa telur),5500,1
Burjo Murno,mie dokdok + nasi,10000,2
Burjo Murno,magelangan,10000,3
Burjo Murno,nasi orak arik,8000,4
Burjo Murno,kopi susu,5000,5
Burjo Andeska Kranggan,indomie rebus tante (tanpa telur),5500,1
Burjo Andeska Kranggan,mie dokdok + nasi,10000,2
Burjo Andeska Kranggan,magelangan,10000,3
Burjo Andeska Kranggan,nasi orak arik,8000,4
Burjo Andeska Kranggan,kopi susu,5000,5
Burjo PS,indomie rebus tante (tanpa telur),5500,1
Burjo PS,mie dokdok + nasi,10000,2
Burjo PS,magelangan,10000,3
Burjo PS,nasi orak arik,8000,4
Burjo PS,kopi susu,5000,5
RM Padang SAKATO,nasi rendang,13000,1
RM Padang SAKATO,nasi cincang,12000,2
RM Padang SAKATO,nasi kikil ,12000,3
RM Padang SAKATO,nasi ayam bakar,12000,4
RM Padang SAKATO,es eh,3000,5
Rumah Makan Padang Murah,nasi rendang,13000,1
Rumah Makan Padang Murah,nasi cincang,12000,2
Rumah Makan Padang Murah,nasi kikil ,12000,3
Rumah Makan Padang Murah,nasi ayam bakar,12000,4
Rumah Makan Padang Murah,es eh,3000,5
RM Padang Tanjuang,nasi rendang,13000,1
RM Padang Tanjuang,nasi cincang,12000,2
RM Padang Tanjuang,nasi kikil ,12000,3
RM Padang Tanjuang,nasi ayam bakar,12000,4
RM Padang Tanjuang,es eh,3000,5
Rumah Makan Diploma Minang,nasi rendang,13000,1
Rumah Makan Diploma Minang,nasi cincang,12000,2
Rumah Makan Diploma Minang,nasi kikil ,12000,3
Rumah Makan Diploma Minang,nasi ayam bakar,12000,4
Rumah Makan Diploma Minang,es eh,3000,5
RM Duta Minang,nasi ayam pop,32000,1
RM Duta Minang,nasi sop buntut,48000,2
RM Duta Minang,nasi rendang,28500,3
RM Duta Minang,nasi paru,28500,4
RM Duta Minang,nasi dendeng,31000,5
RM Duta Minang,nasi ayam gulai,27500,6
warung makan padang meriah,nasi telur,8000,1
warung makan padang meriah,nasi rendang,15000,2
warung makan padang meriah,nasi kikil ,12000,3
warung makan padang meriah,nasi ayam,12000,4
warung makan padang meriah,es teh,3000,5
RM Padang Lima Sekawan,nasi rendang ayam,22000,1
RM Padang Lima Sekawan,nasi rendang daging,22000,2
RM Padang Lima Sekawan,nasi ayam balado,22000,3
RM Padang Lima Sekawan,nasi gembung goreng,20000,4
RM Padang Lima Sekawan,es teh,4500,5
Warung Makan Padang Sendowo,nasi rendang,15000,1
Warung Makan Padang Sendowo,nasi ayam bakar,13000,2
Warung Makan Padang Sendowo,nasi babat,13000,3
Warung Makan Padang Sendowo,nasi nila,14000,4
Warung Makan Padang Sendowo,es teh,2000,5
Rumah Makan Padang Simpang Raya Tugu,sate lidah,18000,1
Rumah Makan Padang Simpang Raya Tugu,dendeng balado,15000,2
Rumah Makan Padang Simpang Raya Tugu,ikan panggang,18000,3
Rumah Makan Padang Simpang Raya Tugu,teh talua,12000,4
Rumah Makan Padang Simpang Raya Tugu,kopi talua,18000,5
McDonald's Jakal,paket panas spesial,45000,1
McDonald's Jakal,panas 1,35909,2
McDonald's Jakal,panas 2 + rice,53636,3
McDonald's Jakal,paket double cheeseburger,42727,4
McDonald's Jakal,mcflurry,15909,5
McDonald's Sudirman Yogyakarta,paket panas spesial,45000,1
McDonald's Sudirman Yogyakarta,panas 1,35909,2
McDonald's Sudirman Yogyakarta,panas 2 + rice,53636,3
McDonald's Sudirman Yogyakarta,paket double cheeseburger,42727,4
McDonald's Sudirman Yogyakarta,mcflurry,15909,5
McDonald's Jombor,paket panas spesial,45000,1
McDonald's Jombor,panas 1,35909,2
McDonald's Jombor,panas 2 + rice,53636,3
McDonald's Jombor,paket double cheeseburger,42727,4
McDonald's Jombor,mcflurry,15909,5
McDonald's Plaza Malioboro,paket panas spesial,45000,1
McDonald's Plaza Malioboro,panas 1,35909,2
McDonald's Plaza Malioboro,panas 2 + rice,53636,3
McDonald's Plaza Malioboro,paket double cheeseburger,42727,4
McDonald's Plaza Malioboro,mcflurry,15909,5
McDonald's Sultan Agung,paket panas spesial,45000,1
McDonald's Sultan Agung,panas 1,35909,2
McDonald's Sultan Agung,panas 2 + rice,53636,3
McDonald's Sultan Agung,paket double cheeseburger,42727,4
McDonald's Sultan Agung,mcflurry,15909,5
McDonald's Ambarukmo,paket panas spesial,45000,1
McDonald's Ambarukmo,panas 1,35909,2
McDonald's Ambarukmo,panas 2 + rice,53636,3
McDonald's Ambarukmo,paket double cheeseburger,42727,4
McDonald's Ambarukmo,mcflurry,15909,5
McDonald's Ice Cream Galeria Mall,mcflurry oreo,15909,1
McDonald's Ice Cream Galeria Mall,mcflurry tehbotol,15909,2
McDonald's Ice Cream Galeria Mall,mcflurry tehbotol kue jadul,15909,3
McDonald's Ice Cream Galeria Mall,iced coffee matcha jelly float,25000,4
McDonald's Ice Cream Galeria Mall,ice cream cone,8182,5
McDonald's Ambarrukmo Plaza,paket panas spesial,45000,1
McDonald's Ambarrukmo Plaza,panas 1,35909,2
McDonald's Ambarrukmo Plaza,panas 2 + rice,53636,3
McDonald's Ambarrukmo Plaza,paket double cheeseburger,42727,4
McDonald's Ambarrukmo Plaza,mcflurry,15909,5
McDonald's Sleman City Hall,paket panas spesial,45000,1
McDonald's Sleman City Hall,panas 1,35909,2
McDonald's Sleman City Hall,panas 2 + rice,53636,3
McDonald's Sleman City Hall,paket double cheeseburger,42727,4
McDonald's Sleman City Hall,mcflurry,15909,5
Pizza Hut Jakal,frankfurter bbq stuffed crust large,158000,1
Pizza Hut Jakal,meat monsta pan pizza regular,99000,2
Pizza Hut Jakal,super supreme cheesy bites personal,61000,3
Pizza Hut Jakal,big box,210000,4
Pizza Hut Jakal,green tea yakult,28182,5
Pizza Hut Jogja City Mall,frankfurter bbq stuffed crust large,158000,1
Pizza Hut Jogja City Mall,meat monsta pan pizza regular,99000,2
Pizza Hut Jogja City Mall,super supreme cheesy bites personal,61000,3
Pizza Hut Jogja City Mall,big box,210000,4
Pizza Hut Jogja City Mall,green tea yakult,28182,5
Pizza Hut Sudirman,frankfurter bbq stuffed crust large,158000,1
Pizza Hut Sudirman,meat monsta pan pizza regular,99000,2
Pizza Hut Sudirman,super supreme cheesy bites personal,61000,3
Pizza Hut Sudirman,big box,210000,4
Pizza Hut Sudirman,green tea yakult,28182,5
Pizza Hut Delivery - PHD Godean,qu4rtza free beef fetuccine,149001,1
Pizza Hut Delivery - PHD Godean,double box deluxe free beef fetuccine,132000,2
Pizza Hut Delivery - PHD Godean,big box signature free beef fetuccine,176000,3
Pizza Hut Delivery - PHD Godean,mybox xl value ,55000,4
Pizza Hut Delivery - PHD Godean,2 my box value ,45000,5
Pizza Hut Delivery - PHD Colombo,qu4rtza free beef fetuccine,149001,1
Pizza Hut Delivery - PHD Colombo,double box deluxe free beef fetuccine,132000,2
Pizza Hut Delivery - PHD Colombo,big box signature free beef fetuccine,176000,3
Pizza Hut Delivery - PHD Colombo,mybox xl value ,55000,4
Pizza Hut Delivery - PHD Colombo,2 my box value ,45000,5
Pizza Hut Sultan Agung,frankfurter bbq stuffed crust large,158000,1
Pizza Hut Sultan Agung,meat monsta pan pizza regular,99000,2
Pizza Hut Sultan Agung,super supreme cheesy bites personal,61000,3
Pizza Hut Sultan Agung,big box,210000,4
Pizza Hut Sultan Agung,green tea yakult,28182,5
Pizza Hut Ambarukmo,frankfurter bbq stuffed crust large,158000,1
Pizza Hut Ambarukmo,meat monsta pan pizza regular,99000,2
Pizza Hut Ambarukmo,super supreme cheesy bites personal,61000,3
Pizza Hut Ambarukmo,big box,210000,4
Pizza Hut Ambarukmo,green tea yakult,28182,5
Pizza Hut Delivery - PHD Seturan,frankfurter bbq stuffed crust large,158000,1
Pizza Hut Delivery - PHD Seturan,meat monsta pan pizza regular,99000,2
Pizza Hut Delivery - PHD Seturan,super supreme cheesy bites personal,61000,3
Pizza Hut Delivery - PHD Seturan,big box,210000,4
Pizza Hut Delivery - PHD Seturan,green tea yakult,28182,5
Pizza Hut Delivery - PHD Taman Siswa,frankfurter bbq stuffed crust large,158000,1
Pizza Hut Delivery - PHD Taman Siswa,meat monsta pan pizza regular,99000,2
Pizza Hut Delivery - PHD Taman Siswa,super supreme cheesy bites personal,61000,3
Pizza Hut Delivery - PHD Taman Siswa,big box,210000,4
Pizza Hut Delivery - PHD Taman Siswa,green tea yakult,28182,5
Pizza Hut Delivery - PHD Jakal,frankfurter bbq stuffed crust large,158000,1
Pizza Hut Delivery - PHD Jakal,meat monsta pan pizza regular,99000,2
Pizza Hut Delivery - PHD Jakal,super supreme cheesy bites personal,61000,3
Pizza Hut Delivery - PHD Jakal,big box,210000,4
Pizza Hut Delivery - PHD Jakal,green tea yakult,28182,5
Ayam Goreng Suharti - Laksda Adisucipto,ayam goreng utuh tanpa lalap,141500,1
Ayam Goreng Suharti - Laksda Adisucipto,ayam goreng separo ,73600,2
Ayam Goreng Suharti - Laksda Adisucipto,nasi putih,9462,3
Ayam Goreng Suharti - Laksda Adisucipto,cah kangkung,39032,4
Ayam Goreng Suharti - Laksda Adisucipto,sambal ayam ,7097,5
Ayam Goreng Ny. Suharti,ayam goreng utuh tanpa lalap,141500,1
Ayam Goreng Ny. Suharti,ayam goreng separo ,73600,2
Ayam Goreng Ny. Suharti,nasi putih,9462,3
Ayam Goreng Ny. Suharti,cah kangkung,39032,4
