Intent,precision,recall,f1-score,support
lokasi_resto,1.0,1.0,1.0,1
restaurant_name,0.8333333333333334,0.5555555555555556,0.6666666666666667,9
working_hours,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
micro avg,0.8,0.6153846153846154,0.6956521739130435,13
macro avg,0.8333333333333334,0.7407407407407408,0.7777777777777778,13
weighted avg,0.8076923076923077,0.6153846153846154,0.6923076923076923,13
